AmerSur-G2,AmerSur-G3,Asia1-G1,Asia1-G2,Asia1-G3,Asia1-G4,Asia2-G1,Asia2-G2,Asia2-G3,Asia2-G4,Australia-G1,Australia-G2,Australia-G3,Australia-G4,Australia-G5,USA-G1,USA-G2,USA-G3,USA-G4,USA-G5
1.0,0.0,,,,,0.96875,0.03125,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.06451613,0.9354839,0.0,0.0,0.0
1.0,0.0,,,,,0.9705882,0.02941176,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.04888889,0.9511111,0.0,0.0,0.0
1.0,0.0,,,,,0.969697,0.03030303,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.1139241,0.8860759,0.0,0.0,0.0
,,,,,,0.96875,0.03125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1017544,0.8982456,0.0,0.0,0.0
,,,,,,0.9642857,0.03571429,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08241758,0.9175824,0.0,0.0,0.0
,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06504065,0.9349593,0.0,0.0,0.0
,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06206897,0.937931,0.0,0.0,0.0
,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02583979,0.9741602,0.0,0.0,0.0
,,0.0,1.0,0.0,0.0,0.9259259,0.07407407,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03724928,0.9627507,0.0,0.0,0.0
,,0.0,1.0,0.0,0.0,0.92,0.08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05521472,0.9447853,0.0,0.0,0.0
,,1.0,0.0,0.0,0.0,0.9259259,0.07407407,0.0,0.0,,,,,,0.0617284,0.9382716,0.0,0.0,0.0
,,1.0,0.0,0.0,0.0,0.9090909,0.09090909,0.0,0.0,,,,,,0.05704698,0.942953,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0,0.8947368,0.1052632,0.0,0.0,,,,,,0.05637982,0.9436202,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,0.04377104,0.956229,0.0,0.0,0.0
